Org Code,SCHOOL,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL,Source,Year
00350518,Boston - Community Academy,0,0,0,0,0,0,0,0,0,0,5,16,14,18,0,53,student_enrollment_2010,2010
00350581,Boston - Community Academy of Science and Health,0,0,0,0,0,0,0,0,0,0,124,51,139,64,0,378,student_enrollment_2010,2010
00350020,Boston - Curley K-8 School,52,59,54,52,50,52,53,105,81,109,0,0,0,0,0,667,student_enrollment_2010,2010
00350062,Boston - Curtis Guild,0,53,51,55,49,48,41,0,0,0,0,0,0,0,0,297,student_enrollment_2010,2010
00350066,Boston - Dante Alighieri,0,22,19,25,22,21,21,0,0,0,0,0,0,0,0,130,student_enrollment_2010,2010
00350072,Boston - David A Ellis,31,43,54,56,54,36,41,0,0,0,0,0,0,0,0,315,student_enrollment_2010,2010
00350074,Boston - Dearborn,0,0,0,0,0,0,0,67,83,137,0,0,0,0,0,287,student_enrollment_2010,2010
00350077,Boston - Dennis C Haley,21,43,43,41,43,41,44,0,0,0,0,0,0,0,0,276,student_enrollment_2010,2010
00350080,Boston - Donald Mckay,0,65,73,92,97,102,101,68,54,59,0,0,0,0,0,711,student_enrollment_2010,2010
00350651,Boston - Dorchester Academy,0,0,0,0,0,0,0,0,0,0,133,124,104,68,2,431,student_enrollment_2010,2010
00350008,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed Sch,51,31,56,50,0,0,0,0,0,0,0,0,0,0,0,188,student_enrollment_2010,2010
00350009,Boston - East Boston ECC,59,54,54,0,0,0,0,0,0,0,0,0,0,0,0,167,student_enrollment_2010,2010
00350530,Boston - East Boston High,0,0,0,0,0,0,0,0,0,0,386,334,274,368,23,1385,student_enrollment_2010,2010
00350375,Boston - Edison K-8,34,44,55,56,55,68,56,118,102,116,0,0,0,0,0,704,student_enrollment_2010,2010
00350088,Boston - Edward Everett,11,37,39,42,45,47,39,0,0,0,0,0,0,0,0,260,student_enrollment_2010,2010
00350543,Boston - Egleston Comm High School,0,0,0,0,0,0,0,0,0,0,7,18,22,46,0,93,student_enrollment_2010,2010
00350005,Boston - ELC - East Zone,44,42,38,0,0,0,0,0,0,0,0,0,0,0,0,124,student_enrollment_2010,2010
00350006,Boston - ELC - West Zone,33,31,30,0,0,0,0,0,0,0,0,0,0,0,0,94,student_enrollment_2010,2010
00350094,Boston - Elihu Greenwood,0,40,61,62,78,50,56,0,0,0,0,0,0,0,0,347,student_enrollment_2010,2010
00350096,Boston - Eliot Elementary,29,35,22,25,24,30,30,33,32,17,0,0,0,0,0,277,student_enrollment_2010,2010
00350100,Boston - Ellis Mendell,34,30,29,20,31,14,28,0,0,0,0,0,0,0,0,186,student_enrollment_2010,2010
00350102,Boston - Emily A Fifield,1,44,57,40,60,52,49,0,0,0,0,0,0,0,0,303,student_enrollment_2010,2010
00350522,Boston - Excel High School,0,0,0,0,0,0,0,0,0,0,108,83,123,77,1,392,student_enrollment_2010,2010
00350108,Boston - Farragut,0,25,41,38,34,36,42,0,0,0,0,0,0,0,0,216,student_enrollment_2010,2010
00350540,Boston - Fenway High School,0,0,0,0,0,0,0,0,0,0,76,73,71,69,0,289,student_enrollment_2010,2010
00350116,Boston - Franklin D Roosevelt,40,42,41,41,48,49,40,54,51,0,0,0,0,0,0,406,student_enrollment_2010,2010
00350326,Boston - Gardner Pilot Academy,20,60,54,53,62,48,47,0,0,0,0,0,0,0,0,344,student_enrollment_2010,2010
00350122,Boston - George H Conley,29,31,24,27,28,32,30,0,0,0,0,0,0,0,0,201,student_enrollment_2010,2010
