Org Code,Org Name,Churn Enrollment,% Churn,% Intake,Stability Enrollment,% Stability,Source,Year
02180060,Norton - Henri A. Yelle,419,2.9,1.9,414,98.3,student_mobility_2013,2013
02180015,Norton - J C Solmonese,507,4.1,3.0,499,97.4,student_mobility_2013,2013
02180010,Norton - L G Nourse Elementary,368,82.1,80.7,353,18.7,student_mobility_2013,2013
02180505,Norton - Norton High,719,5.7,2.1,710,95.5,student_mobility_2013,2013
02180305,Norton - Norton Middle,667,2.4,1.5,664,98.0,student_mobility_2013,2013
02190005,Norwell - Grace Farrar Cole,501,9.0,7.0,489,93.3,student_mobility_2013,2013
02190505,Norwell - Norwell High,694,1.6,0.9,689,99.1,student_mobility_2013,2013
02190405,Norwell - Norwell Middle School,605,2.8,1.8,596,98.7,student_mobility_2013,2013
02190020,Norwell - William G Vinal,571,4.2,3.3,562,97.3,student_mobility_2013,2013
02200005,Norwood - Balch,275,10.9,8.7,254,96.5,student_mobility_2013,2013
02200025,Norwood - Charles J Prescott,252,7.1,4.0,242,96.7,student_mobility_2013,2013
02200010,Norwood - Cornelius M Callahan,251,4.0,2.4,247,97.6,student_mobility_2013,2013
02200305,Norwood - Dr. Philip O. Coakley Middle School,736,5.7,3.8,712,97.5,student_mobility_2013,2013
02200015,Norwood - F A Cleveland,373,9.1,3.2,362,93.6,student_mobility_2013,2013
02200075,Norwood - George F. Willett,407,17.9,13.5,381,87.7,student_mobility_2013,2013
02200020,Norwood - John P Oldham,254,9.8,6.7,241,95.0,student_mobility_2013,2013
