Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
01750305,97.1,5.2,13.3,3.3,2015,0.0
03480002,100.0,0.0,0.3,0.1,2015,0.0
07750315,95.9,7.2,22.7,5.7,2015,0.5
02290510,93.1,12.0,47.8,20.7,2015,1.9
02910305,95.6,7.7,28.9,9.9,2015,0.3
00350116,95.8,7.3,26.6,8.1,2015,3.4
03350012,97.0,5.4,15.3,2.3,2015,0.5
06030020,94.8,8.8,34.6,13.9,2015,1.8
00240006,95.7,7.5,28.3,6.8,2015,0.0
02440040,95.5,7.7,28.0,11.3,2015,0.4
06500310,95.7,7.5,28.2,8.4,2015,0.2
01810050,95.3,8.1,31.4,9.8,2015,0.4
00980005,95.1,8.3,25.5,12.8,2015,1.3
02270305,95.7,7.5,24.1,8.8,2015,1.4
02810530,89.4,17.4,57.9,38.0,2015,13.9
00990015,95.4,7.2,21.1,7.2,2015,0.0
03250025,95.0,8.5,33.3,11.9,2015,0.0
03480185,96.3,6.4,20.1,6.7,2015,1.5
02520305,95.7,7.6,27.6,7.3,2015,0.4
02070125,97.1,4.8,13.2,1.3,2015,0.0
06740310,95.0,8.6,34.8,12.8,2015,0.5
02810110,94.2,9.7,36.3,16.2,2015,4.1
04380505,93.9,10.7,39.5,21.1,2015,4.9
02810165,95.7,7.6,29.0,9.1,2015,0.4
01990040,97.0,5.4,13.4,2.2,2015,0.0
02430055,95.3,7.8,30.3,12.3,2015,0.0
07250020,96.1,6.8,23.7,5.0,2015,0.0
01390505,96.0,7.1,24.0,5.6,2015,0.1
01600345,95.3,8.0,31.2,12.2,2015,1.0
06980030,95.7,7.6,27.8,6.3,2015,0.0
01510505,94.3,9.8,38.7,14.9,2015,2.8
01860017,95.7,7.2,28.0,7.2,2015,0.2
00350581,86.0,21.6,51.6,40.2,2015,15.5
01330018,94.9,8.6,35.5,11.1,2015,0.3
06220008,95.2,8.2,30.9,8.0,2015,1.7
01700006,93.7,9.9,36.1,18.8,2015,0.0
01000035,95.4,8.1,30.8,8.9,2015,0.2
03470065,95.8,7.0,27.0,5.2,2015,0.0
01820011,94.1,9.9,36.6,13.6,2015,0.0
02380010,96.0,6.8,20.8,9.4,2015,0.7
