Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
01780305,34,2010,Melrose - Melrose Middle,0.0,0.0,0.0,2.3,2.3,0.0
01780505,34,2010,Melrose - Melrose High,0.0,0.0,0.0,2.4,2.4,0.0
01810004,34,2010,Methuen - Pleasant Valley School,0.0,0.0,0.0,0.0,0.0,0.0
01810030,34,2010,Methuen - Marsh Grammar School,0.0,0.0,0.0,0.0,0.0,0.0
01810050,34,2010,Methuen - Comprehensive Grammar School,0.0,0.0,0.0,2.0,2.0,0.0
01810055,34,2010,Methuen - Tenney Grammar School,0.0,0.0,0.0,0.0,0.0,0.0
01810060,34,2010,Methuen - Donald P Timony Grammar,0.0,0.0,0.0,1.0,1.0,0.0
01810505,34,2010,Methuen - Methuen High,0.0,0.0,0.0,0.0,0.0,0.0
01820008,34,2010,Middleborough - Henry B Burkland Intermed,0.0,0.0,0.0,1.1,1.1,0.0
01820011,34,2010,Middleborough - Memorial Early Childhood Center,0.0,0.0,0.0,1.6,1.6,0.0
01820025,34,2010,Middleborough - Mary K. Goode Elementary School,0.0,0.0,0.0,0.5,0.5,0.0
01820305,34,2010,Middleborough - John T. Nichols Middle,0.0,0.0,0.0,1.0,1.0,0.0
01820505,34,2010,Middleborough - Middleborough High,0.0,0.0,0.0,1.4,1.4,0.0
01840003,34,2010,Middleton - Fuller Meadow,0.0,0.0,0.0,0.8,0.8,0.0
01840005,34,2010,Middleton - Howe-Manning,0.0,0.0,0.0,1.6,1.6,0.0
01850010,34,2010,Milford - Memorial,0.0,0.0,0.0,1.4,1.4,0.0
01850065,34,2010,Milford - Brookside,0.0,0.0,0.0,2.3,2.3,0.0
01850075,34,2010,Milford - Shining Star ECC,0.0,0.0,0.0,4.6,4.6,0.0
01850090,34,2010,Milford - Woodland,0.0,0.0,0.0,2.0,2.0,0.0
01850305,34,2010,Milford - Stacy Middle,0.0,0.0,0.0,2.4,2.4,0.0
01850310,34,2010,Milford - Milford Middle East,0.0,0.0,0.0,0.1,0.1,0.0
01850505,34,2010,Milford - Milford High,0.0,0.0,0.0,1.1,1.1,0.0
01860017,34,2010,Millbury - Elmwood Street,0.0,0.0,0.0,5.2,5.2,0.0
01860025,34,2010,Millbury - Raymond E. Shaw Elementary,0.0,0.0,0.0,0.8999999999999999,0.8999999999999999,0.0
01860505,34,2010,Millbury - Millbury Jr/Sr High,0.0,0.0,0.0,0.4,0.4,0.0
01870005,34,2010,Millis - Clyde F Brown,0.0,0.0,0.0,4.0,4.0,0.0
01870020,34,2010,Millis - Millis Middle,0.0,0.0,0.0,2.0,2.0,0.0
01870505,34,2010,Millis - Millis High School,0.0,0.0,0.0,0.0,0.0,0.0
01890005,34,2010,Milton - Collicot,0.0,0.0,0.0,5.9,5.9,0.0
01890007,34,2010,Milton - Cunningham School,0.0,0.0,0.0,2.2,2.2,0.0
01890010,34,2010,Milton - Glover,0.0,0.0,0.0,2.2,2.2,0.0
01890020,34,2010,Milton - Tucker,0.0,0.0,0.0,2.2,2.2,0.0
01890410,34,2010,Milton - Charles S Pierce Middle,0.0,0.0,0.0,1.4,1.4,0.0
01890505,34,2010,Milton - Milton High,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0
01910025,34,2010,Monson - Quarry Hill Comm,0.0,0.0,0.0,3.6,3.6,0.0
01910310,34,2010,Monson - Granite Valley Middle,0.0,0.0,0.0,0.0,0.0,0.0
01910505,34,2010,Monson - Monson High School,0.0,0.0,0.0,0.0,0.0,0.0
01960010,34,2010,Nahant - Johnson,0.0,0.0,0.0,2.1,2.1,0.0
01970005,34,2010,Nantucket - Nantucket Elementary,0.0,0.0,0.0,0.0,0.0,0.0
01970010,34,2010,Nantucket - Cyrus Peirce,0.0,0.0,0.0,0.0,0.0,0.0
01970505,34,2010,Nantucket - Nantucket High,0.0,0.0,0.0,0.0,0.0,0.0
01980005,34,2010,Natick - Bennett-Hemenway,0.0,0.0,0.0,8.7,9.3,0.6
01980010,34,2010,Natick - Brown,0.0,0.0,0.0,3.1,3.1,0.0
01980031,34,2010,Natick - Johnson,0.0,0.0,0.0,2.4,2.4,0.0
01980035,34,2010,Natick - Lilja Elementary,0.0,0.0,0.0,1.8,1.8,0.0
01980043,34,2010,Natick - Memorial,0.0,0.0,0.0,1.8,1.8,0.0
01980305,34,2010,Natick - J F Kennedy Middle Sch,0.0,0.0,0.0,2.0,2.0,0.0
01980310,34,2010,Natick - Wilson Middle,0.0,0.0,0.0,2.0,2.0,0.0
01980505,34,2010,Natick - Natick High,0.0,0.0,0.0,1.0,1.0,0.0
01990005,34,2010,Needham - Broadmeadow,0.0,0.0,0.0,1.7,1.7,0.0
01990020,34,2010,Needham - John Eliot,0.0,0.0,0.0,2.5999999999999996,2.5999999999999996,0.0
01990035,34,2010,Needham - Hillside Elementary,0.0,0.0,0.0,1.1,1.1,0.0
01990040,34,2010,Needham - William Mitchell,0.0,0.0,0.0,1.7,1.7,0.0
01990050,34,2010,Needham - Newman Elem,0.0,0.0,0.0,8.4,8.4,0.0
01990405,34,2010,Needham - Pollard Middle,0.0,0.0,0.0,1.6,1.6,0.0
01990410,34,2010,Needham - High Rock School,0.0,0.0,0.0,0.5,0.5,0.0
01990505,34,2010,Needham - Needham High,0.0,0.0,0.0,1.0,1.0,0.0
02010010,34,2010,New Bedford - Charles S Ashley,0.1,0.0,0.0,0.7,0.8,0.0
02010015,34,2010,New Bedford - Elizabeth Carter Brooks,0.0,0.0,0.0,0.8,0.8,0.0
02010020,34,2010,New Bedford - Elwyn G Campbell,0.0,0.0,0.0,1.6,1.6,0.0
02010040,34,2010,New Bedford - James B Congdon,0.0,0.0,0.0,1.0,1.0,0.0
02010045,34,2010,New Bedford - Sgt Wm H Carney Acad,0.0,0.0,0.0,2.0,2.0,0.0
02010050,34,2010,New Bedford - John B Devalles,0.0,0.0,0.1,2.1,2.2,0.0
02010060,34,2010,New Bedford - George H Dunbar,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,0.0
02010063,34,2010,New Bedford - Alfred J Gomes,0.0,0.0,0.1,3.6,3.7,0.0
02010070,34,2010,New Bedford - John Hannigan,0.0,0.0,0.0,0.8,0.8,0.0
02010075,34,2010,New Bedford - Ellen R Hathaway,0.0,0.0,0.0,1.1,1.1,0.0
02010078,34,2010,New Bedford - Hayden/McFadden,0.1,0.0,0.0,2.0,2.1,0.0
02010085,34,2010,New Bedford - Horatio A Kempton,0.0,0.0,0.0,1.6,1.6,0.0
02010095,34,2010,New Bedford - Abraham Lincoln,0.1,0.0,0.0,0.7,0.8,0.0
02010105,34,2010,New Bedford - Carlos Pacheco,0.0,0.0,0.0,1.5,1.5,0.0
02010110,34,2010,New Bedford - Sarah D Ottiwell,0.1,0.0,0.0,1.3,1.4,0.0
02010115,34,2010,New Bedford - John Avery Parker,0.0,0.0,0.0,1.0,1.0,0.0
02010120,34,2010,New Bedford - Phillips Avenue,0.1,0.0,0.0,0.4,0.5,0.0
02010123,34,2010,New Bedford - Casimir Pulaski,0.1,0.0,0.0,4.8,4.9,0.0
02010125,34,2010,New Bedford - Thomas R Rodman,0.0,0.0,0.0,0.7,0.7,0.0
02010130,34,2010,New Bedford - Jireh Swift,0.1,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0
02010135,34,2010,New Bedford - William H Taylor,0.0,0.0,0.0,0.9,0.9,0.0
02010140,34,2010,New Bedford - Betsey B Winslow,0.0,0.0,0.0,0.7,0.7,0.0
